"Schedule","Budget","Risk_1","Risk_2","Risk_3","Project_Risk","Complexity","Type","Overrun"
"short","large","no","yes","yes","high","hard","A","unacceptable"
"large","large","yes","yes","no","medium","easy","B","unacceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"short","small","no","no","yes","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","B","acceptable"
"short","large","no","yes","yes","high","hard","A","unacceptable"
"short","large","no","yes","yes","high","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","yes","no","medium","easy","B","unacceptable"
"short","large","yes","yes","yes","high","hard","A","unacceptable"
"short","small","yes","yes","yes","high","easy","A","acceptable"
"large","large","yes","no","no","medium","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"large","small","yes","no","no","low","easy","A","acceptable"
"short","small","no","no","no","medium","easy","A","acceptable"
"short","large","yes","yes","no","low","easy","A","unacceptable"
"short","large","yes","yes","no","low","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","no","yes","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","B","unacceptable"
"short","small","yes","yes","no","low","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","yes","no","no","medium","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","B","unacceptable"
"short","large","no","yes","no","low","hard","A","acceptable"
"short","large","yes","no","no","low","easy","B","acceptable"
"short","large","yes","no","yes","high","easy","A","acceptable"
"large","small","yes","no","no","medium","easy","A","acceptable"
"short","small","no","yes","yes","high","hard","A","unacceptable"
"short","small","no","no","no","low","hard","A","acceptable"
"short","small","yes","yes","no","high","easy","A","unacceptable"
"large","large","no","no","no","low","hard","A","acceptable"
"large","small","yes","no","yes","low","easy","A","acceptable"
"short","large","yes","no","yes","low","hard","A","acceptable"
"large","small","yes","no","no","low","easy","A","acceptable"
"short","large","no","yes","no","low","easy","A","unacceptable"
"short","small","yes","yes","no","medium","easy","A","acceptable"
"short","large","no","yes","yes","high","easy","A","unacceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","no","yes","yes","medium","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","large","no","no","yes","high","hard","A","unacceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","no","yes","yes","high","hard","A","unacceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","large","yes","no","no","low","hard","B","acceptable"
"short","small","yes","no","yes","medium","easy","A","unacceptable"
"short","small","no","no","no","medium","easy","A","acceptable"
"short","small","yes","yes","yes","low","hard","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","small","no","no","no","medium","easy","A","acceptable"
"large","large","yes","yes","yes","high","hard","A","unacceptable"
"short","large","yes","yes","no","high","easy","A","acceptable"
"short","small","yes","no","no","medium","easy","A","acceptable"
"short","large","no","yes","yes","high","easy","A","acceptable"
"short","large","yes","yes","yes","high","hard","A","acceptable"
"short","small","yes","no","no","low","easy","B","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"large","large","yes","no","no","low","easy","A","acceptable"
"large","large","no","yes","no","low","easy","A","acceptable"
"short","large","yes","yes","yes","medium","hard","A","unacceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"large","small","no","no","yes","low","hard","A","acceptable"
"large","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","yes","no","no","low","hard","A","acceptable"
"short","large","yes","yes","yes","low","easy","A","unacceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"large","small","no","yes","no","low","easy","A","acceptable"
"short","small","no","yes","yes","high","easy","A","unacceptable"
"large","small","no","yes","no","low","easy","A","acceptable"
"short","small","no","yes","yes","high","hard","A","unacceptable"
"large","small","no","no","no","medium","easy","A","acceptable"
"short","large","yes","yes","no","low","easy","A","acceptable"
"large","large","no","yes","no","low","easy","A","unacceptable"
"large","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"short","large","no","yes","no","low","easy","A","unacceptable"
"short","small","no","yes","yes","high","hard","A","unacceptable"
"short","small","no","yes","yes","high","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","medium","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","no","yes","no","medium","hard","A","unacceptable"
"large","large","yes","yes","no","medium","easy","A","acceptable"
"short","small","no","yes","no","medium","easy","A","unacceptable"
"short","small","yes","yes","no","low","hard","A","acceptable"
"short","small","no","no","no","medium","easy","B","acceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","medium","easy","A","unacceptable"
"short","small","no","yes","no","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","low","hard","A","acceptable"
"short","small","yes","yes","no","medium","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","small","no","yes","no","low","easy","A","unacceptable"
"short","small","yes","yes","yes","high","hard","A","acceptable"
"short","large","no","yes","no","high","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","yes","low","easy","A","acceptable"
"short","small","no","no","yes","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","large","no","yes","no","medium","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","large","no","yes","yes","low","easy","A","acceptable"
"large","large","yes","no","no","high","hard","A","unacceptable"
"short","large","no","yes","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"short","small","yes","no","yes","low","easy","A","acceptable"
"short","small","no","no","no","low","hard","A","acceptable"
"large","small","yes","yes","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","small","yes","yes","no","high","easy","A","unacceptable"
"large","large","no","no","no","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"large","large","no","no","no","medium","easy","A","acceptable"
"short","small","yes","no","yes","medium","easy","A","unacceptable"
"short","small","yes","no","no","high","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","B","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","yes","high","hard","A","acceptable"
"short","large","yes","yes","yes","low","easy","A","acceptable"
"short","small","no","no","no","low","hard","A","acceptable"
"short","large","yes","no","yes","high","easy","A","unacceptable"
"short","small","yes","no","no","high","easy","A","acceptable"
"short","large","yes","yes","no","medium","easy","A","unacceptable"
"short","small","no","yes","yes","medium","easy","A","unacceptable"
"large","small","yes","yes","yes","high","easy","A","acceptable"
"short","small","no","yes","no","high","easy","A","unacceptable"
"short","small","yes","no","no","high","easy","A","acceptable"
"large","small","no","yes","no","medium","easy","A","unacceptable"
"short","small","yes","yes","no","low","hard","A","acceptable"
"short","small","yes","no","no","low","hard","A","acceptable"
"short","small","no","yes","yes","high","easy","A","unacceptable"
"large","small","no","yes","yes","high","easy","B","acceptable"
"short","small","yes","no","yes","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","medium","easy","A","acceptable"
"short","large","no","yes","yes","low","easy","A","acceptable"
"short","small","yes","yes","no","high","hard","A","unacceptable"
"short","large","no","no","yes","medium","easy","A","acceptable"
"large","small","no","no","yes","medium","hard","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","large","yes","no","yes","high","easy","A","unacceptable"
"short","small","no","yes","no","medium","hard","A","unacceptable"
"short","small","yes","no","no","medium","easy","A","acceptable"
"short","large","yes","yes","no","medium","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","medium","easy","A","unacceptable"
"large","small","no","no","no","low","hard","B","acceptable"
"short","small","no","no","no","low","hard","A","acceptable"
"large","large","no","yes","no","high","hard","A","unacceptable"
"short","small","no","no","no","medium","hard","A","acceptable"
"short","small","no","yes","yes","low","hard","A","acceptable"
"short","small","yes","no","no","high","easy","A","acceptable"
"short","small","no","no","yes","medium","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","large","no","no","no","medium","easy","A","acceptable"
"short","large","no","yes","yes","high","easy","A","unacceptable"
"short","small","yes","yes","no","low","easy","A","acceptable"
"short","small","yes","no","no","medium","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","B","unacceptable"
"short","large","yes","yes","no","high","easy","A","unacceptable"
"large","small","no","no","yes","medium","easy","A","acceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","small","no","no","no","medium","easy","B","acceptable"
"short","small","no","yes","no","low","easy","A","acceptable"
"large","large","no","yes","no","medium","easy","A","unacceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"large","small","yes","no","no","low","easy","A","acceptable"
"short","large","no","yes","no","high","easy","A","unacceptable"
"large","small","yes","yes","no","high","hard","B","unacceptable"
"short","large","yes","yes","yes","high","hard","B","acceptable"
"short","small","no","no","yes","medium","easy","A","acceptable"
"large","small","yes","no","yes","medium","hard","A","acceptable"
"short","large","no","no","no","high","easy","A","acceptable"
"short","small","yes","no","no","medium","easy","A","unacceptable"
"large","small","yes","no","no","low","easy","A","acceptable"
"short","small","yes","no","yes","high","hard","A","unacceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","no","yes","yes","high","easy","A","unacceptable"
"short","small","yes","yes","no","medium","easy","A","unacceptable"
"short","small","no","no","yes","low","easy","B","acceptable"
"short","small","yes","yes","no","low","hard","A","acceptable"
"short","large","no","yes","yes","medium","easy","A","unacceptable"
"short","small","no","no","no","high","easy","A","acceptable"
"large","small","no","yes","yes","high","hard","A","acceptable"
"short","small","no","no","yes","medium","easy","A","acceptable"
"short","small","no","yes","no","high","hard","A","acceptable"
"short","small","no","yes","yes","high","hard","A","unacceptable"
"large","small","yes","yes","yes","high","hard","A","unacceptable"
"large","small","yes","no","no","medium","easy","B","unacceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","medium","easy","A","unacceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"large","large","no","no","no","medium","hard","A","acceptable"
"large","large","yes","no","no","low","easy","A","acceptable"
"large","large","yes","yes","yes","medium","hard","B","unacceptable"
"short","large","no","no","no","low","easy","A","unacceptable"
"short","small","no","no","yes","low","hard","A","acceptable"
"large","large","yes","no","no","medium","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","no","yes","no","low","easy","A","acceptable"
"short","large","no","yes","yes","medium","easy","A","unacceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","no","no","yes","low","easy","A","acceptable"
"short","small","no","yes","no","medium","easy","A","acceptable"
"short","large","yes","yes","yes","low","easy","A","unacceptable"
"short","small","no","yes","no","medium","easy","B","acceptable"
"large","large","yes","no","no","low","easy","B","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","high","easy","A","acceptable"
"short","small","no","no","no","low","easy","B","acceptable"
"short","small","yes","yes","no","high","hard","A","acceptable"
"large","small","no","yes","yes","high","hard","A","unacceptable"
"short","large","yes","yes","no","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","unacceptable"
"short","large","yes","yes","yes","medium","easy","A","acceptable"
"short","small","no","yes","no","high","easy","A","unacceptable"
"short","large","no","yes","yes","high","easy","A","unacceptable"
"short","small","yes","yes","yes","high","hard","A","acceptable"
"short","small","no","yes","yes","low","easy","A","acceptable"
"short","large","yes","no","yes","low","easy","A","acceptable"
"large","small","no","no","no","medium","easy","A","acceptable"
"short","small","yes","no","yes","low","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","high","easy","A","unacceptable"
"short","small","yes","yes","no","medium","hard","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","low","hard","A","acceptable"
"short","small","yes","yes","no","low","easy","A","acceptable"
"short","large","no","yes","yes","high","hard","A","unacceptable"
"short","small","no","no","yes","low","hard","A","acceptable"
"short","large","yes","no","no","medium","easy","A","unacceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","large","yes","no","yes","high","hard","B","unacceptable"
"short","small","yes","no","no","high","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","unacceptable"
"short","large","no","no","yes","low","easy","A","acceptable"
"large","small","no","yes","no","medium","hard","A","acceptable"
"short","small","yes","no","yes","medium","easy","A","acceptable"
"short","small","no","yes","yes","high","hard","B","unacceptable"
"large","large","no","yes","no","medium","easy","A","acceptable"
"short","small","yes","yes","yes","low","easy","A","acceptable"
"short","small","yes","no","no","low","hard","A","acceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","yes","yes","yes","high","hard","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","acceptable"
"large","small","no","no","yes","low","hard","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"large","large","yes","yes","yes","high","hard","A","unacceptable"
"short","large","no","no","no","medium","easy","A","acceptable"
"large","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","small","no","yes","yes","high","easy","A","acceptable"
"large","small","yes","yes","yes","low","hard","A","acceptable"
"short","small","no","yes","yes","high","hard","A","unacceptable"
"large","small","no","yes","no","low","easy","A","acceptable"
"short","small","yes","no","yes","low","easy","A","acceptable"
"short","large","no","no","no","low","hard","A","acceptable"
"short","small","no","yes","no","low","hard","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","no","no","yes","low","easy","B","unacceptable"
"short","small","no","yes","yes","high","easy","A","unacceptable"
"short","small","yes","no","yes","low","easy","A","acceptable"
"short","small","no","yes","yes","high","easy","A","acceptable"
"short","large","yes","yes","no","low","easy","A","unacceptable"
"short","large","yes","no","yes","low","hard","A","acceptable"
"large","small","yes","no","yes","low","easy","A","acceptable"
"short","small","yes","no","yes","low","easy","A","acceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"large","small","no","yes","no","high","hard","B","acceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","high","easy","A","unacceptable"
"short","large","yes","yes","no","medium","hard","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","low","easy","A","acceptable"
"short","large","no","yes","no","high","easy","A","unacceptable"
"short","large","no","no","yes","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","medium","easy","A","unacceptable"
"short","large","no","yes","yes","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","medium","easy","A","unacceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"short","large","yes","yes","no","medium","hard","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","medium","easy","A","unacceptable"
"short","large","yes","no","no","low","hard","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","no","yes","yes","high","hard","A","unacceptable"
"short","large","no","no","yes","low","easy","A","unacceptable"
"short","large","yes","yes","yes","medium","easy","A","acceptable"
"short","small","yes","no","no","low","hard","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","no","yes","yes","high","easy","A","unacceptable"
"large","small","yes","no","no","low","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","no","yes","no","medium","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"large","small","no","yes","yes","high","hard","A","unacceptable"
"large","large","yes","no","no","medium","easy","A","unacceptable"
"short","large","no","no","yes","high","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","medium","easy","A","unacceptable"
"short","small","no","yes","yes","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","A","acceptable"
"short","large","no","no","no","low","easy","B","acceptable"
"short","small","no","no","no","medium","easy","A","acceptable"
"short","large","yes","yes","no","low","easy","B","unacceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","no","yes","no","medium","easy","A","unacceptable"
"large","small","no","yes","yes","low","easy","A","unacceptable"
"large","small","yes","yes","yes","low","hard","A","acceptable"
"short","small","yes","yes","no","medium","hard","A","unacceptable"
"short","large","no","yes","no","high","easy","A","unacceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","medium","easy","A","unacceptable"
"large","small","yes","yes","yes","low","hard","A","unacceptable"
"short","large","yes","no","yes","high","easy","B","acceptable"
"large","small","yes","no","yes","medium","easy","B","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","yes","yes","high","hard","A","unacceptable"
"short","large","no","no","no","low","easy","A","unacceptable"
"large","large","no","no","no","low","easy","A","acceptable"
"large","large","yes","yes","yes","high","easy","B","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","low","easy","A","acceptable"
"short","small","no","no","no","high","easy","A","acceptable"
"large","small","yes","yes","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","yes","yes","no","low","easy","B","unacceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"large","small","no","yes","no","high","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","no","yes","yes","high","hard","B","acceptable"
"short","small","yes","yes","no","high","easy","A","unacceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","high","easy","A","acceptable"
"short","small","no","yes","yes","high","hard","A","unacceptable"
"short","large","no","no","yes","medium","hard","A","acceptable"
"short","small","no","yes","no","low","easy","A","acceptable"
"short","small","no","yes","yes","high","easy","A","unacceptable"
"short","large","no","yes","yes","high","easy","A","unacceptable"
"short","small","no","yes","no","high","easy","A","unacceptable"
"short","large","yes","yes","no","medium","hard","A","acceptable"
"short","small","no","yes","yes","low","easy","A","acceptable"
"short","large","yes","yes","no","high","easy","A","unacceptable"
"short","small","no","yes","no","low","easy","A","unacceptable"
"short","small","yes","yes","yes","high","easy","A","unacceptable"
"short","large","no","no","yes","low","hard","A","unacceptable"
"short","large","no","yes","no","low","easy","A","acceptable"
"short","large","yes","yes","no","low","hard","A","unacceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"large","large","yes","yes","yes","high","easy","A","acceptable"
"short","small","yes","no","yes","high","easy","A","unacceptable"
"large","large","no","yes","yes","high","easy","A","acceptable"
"short","large","yes","yes","yes","high","hard","A","unacceptable"
"short","large","no","no","no","medium","easy","A","acceptable"
"short","small","no","no","no","medium","easy","A","acceptable"
"large","small","no","yes","yes","high","easy","A","unacceptable"
"short","small","yes","yes","yes","high","easy","B","unacceptable"
"short","small","yes","yes","yes","high","hard","B","unacceptable"
"large","large","no","yes","no","high","hard","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","yes","low","hard","A","acceptable"
"short","large","yes","yes","no","high","hard","A","unacceptable"
"short","small","yes","yes","no","high","hard","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"large","small","yes","no","yes","low","hard","A","acceptable"
"short","large","no","yes","no","medium","easy","A","acceptable"
"short","small","yes","no","yes","low","hard","A","acceptable"
"short","small","no","yes","yes","high","easy","A","acceptable"
"short","small","yes","no","yes","medium","easy","A","unacceptable"
"short","small","yes","no","no","medium","easy","A","unacceptable"
"short","large","yes","no","yes","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","low","easy","A","acceptable"
"short","small","no","yes","no","high","easy","A","acceptable"
"short","large","no","yes","yes","high","easy","A","unacceptable"
"short","large","yes","yes","no","high","easy","A","unacceptable"
"large","small","yes","yes","no","medium","hard","A","acceptable"
"short","large","no","no","no","medium","hard","A","acceptable"
"short","large","no","yes","yes","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","no","no","yes","low","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","B","unacceptable"
"short","large","yes","no","no","low","easy","B","acceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","small","no","yes","no","low","easy","A","acceptable"
"short","small","no","yes","yes","high","easy","A","unacceptable"
"short","small","no","no","no","medium","easy","A","acceptable"
"short","small","no","yes","no","medium","easy","A","unacceptable"
"short","small","no","yes","yes","high","easy","A","unacceptable"
"short","small","no","yes","no","high","easy","A","acceptable"
"short","small","yes","yes","no","low","easy","A","acceptable"
"short","large","no","yes","yes","high","hard","A","unacceptable"
"short","small","yes","no","no","medium","easy","A","acceptable"
"short","small","yes","no","no","medium","easy","A","unacceptable"
"short","large","no","yes","no","low","easy","A","acceptable"
"short","large","no","yes","yes","high","hard","A","unacceptable"
"short","large","no","yes","yes","high","easy","A","unacceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"large","large","yes","yes","yes","high","easy","A","unacceptable"
"large","large","yes","no","no","low","easy","A","acceptable"
"large","small","yes","no","no","medium","easy","B","acceptable"
"short","small","no","no","yes","low","easy","A","acceptable"
"short","large","no","yes","no","high","easy","A","acceptable"
"short","small","yes","no","no","medium","hard","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"large","large","yes","yes","yes","medium","hard","A","unacceptable"
"short","small","no","yes","yes","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","yes","yes","yes","high","hard","A","unacceptable"
"large","small","yes","yes","no","medium","easy","A","unacceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","large","no","yes","yes","high","easy","B","unacceptable"
"short","small","yes","yes","no","high","hard","A","acceptable"
"large","small","no","yes","yes","high","easy","A","unacceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","medium","hard","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"large","large","yes","yes","yes","low","easy","A","acceptable"
"large","small","yes","yes","yes","high","easy","A","unacceptable"
"large","small","no","no","no","low","hard","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","no","yes","no","medium","easy","A","unacceptable"
"short","small","yes","no","no","high","easy","A","acceptable"
"short","large","yes","yes","yes","high","easy","A","unacceptable"
"short","large","yes","no","no","low","easy","B","acceptable"
"short","small","yes","no","no","low","easy","A","unacceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"large","small","yes","no","yes","medium","easy","A","acceptable"
"large","small","yes","no","yes","high","easy","A","unacceptable"
"large","small","yes","no","no","low","easy","A","acceptable"
"short","small","no","yes","no","high","easy","A","unacceptable"
"short","large","yes","yes","no","low","easy","A","acceptable"
"short","large","no","no","no","medium","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"large","small","yes","no","no","low","hard","A","acceptable"
"short","small","no","no","no","medium","easy","A","acceptable"
"large","small","no","yes","no","high","hard","A","unacceptable"
"short","large","yes","yes","no","high","hard","A","unacceptable"
"short","small","yes","no","yes","high","hard","B","unacceptable"
"short","small","no","yes","yes","medium","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","high","hard","A","acceptable"
"short","small","yes","no","no","medium","easy","A","acceptable"
"short","large","yes","yes","yes","low","easy","A","unacceptable"
"short","small","yes","yes","yes","high","easy","B","unacceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","medium","easy","A","acceptable"
"short","small","yes","yes","yes","high","easy","A","acceptable"
"large","large","yes","no","no","low","easy","A","acceptable"
"short","small","no","yes","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","large","yes","yes","no","low","easy","A","acceptable"
"large","large","yes","yes","yes","high","easy","A","unacceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","high","easy","A","unacceptable"
"short","large","no","yes","yes","medium","hard","A","acceptable"
"short","large","yes","yes","no","medium","easy","B","unacceptable"
"short","small","yes","no","no","medium","easy","A","acceptable"
"short","small","yes","yes","no","low","easy","B","acceptable"
"large","large","yes","no","no","high","easy","A","acceptable"
"short","small","yes","yes","no","high","easy","A","unacceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","small","yes","yes","yes","low","easy","A","unacceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","yes","no","medium","easy","A","unacceptable"
"short","small","no","no","no","medium","hard","A","acceptable"
"short","small","no","no","no","low","hard","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","unacceptable"
"short","small","no","yes","no","low","easy","A","unacceptable"
"short","small","no","yes","no","medium","hard","A","acceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"short","large","no","no","no","high","easy","A","acceptable"
"short","small","yes","yes","yes","high","hard","A","unacceptable"
"short","small","yes","no","yes","medium","easy","A","unacceptable"
"short","large","yes","yes","yes","medium","easy","A","unacceptable"
"short","large","yes","no","no","low","easy","A","acceptable"
"large","small","no","no","no","low","easy","A","acceptable"
"short","large","no","yes","yes","medium","hard","A","acceptable"
"short","large","yes","yes","yes","medium","hard","A","unacceptable"
"short","small","yes","no","no","medium","hard","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","large","yes","yes","no","high","easy","A","unacceptable"
"short","large","yes","no","no","medium","easy","A","unacceptable"
"short","small","no","no","yes","low","easy","A","unacceptable"
"large","small","yes","no","no","low","easy","A","acceptable"
"short","large","no","no","yes","medium","hard","A","unacceptable"
"short","large","no","yes","no","high","easy","A","unacceptable"
"short","large","yes","no","yes","low","hard","A","acceptable"
"large","large","no","yes","no","low","easy","A","acceptable"
"short","small","no","no","no","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
"short","large","no","no","no","low","easy","A","acceptable"
"short","small","no","yes","yes","low","easy","A","acceptable"
"short","small","yes","no","no","low","easy","A","acceptable"
